category_drift_id	canonical_category	issue_family	primary_quality_dimension	secondary_quality_dimension	providers	entities	fields	source_drift_count	max_severity	resolution_pattern	status
DQCAT-COMP-001	Completeness	Entity availability gap	Completeness	Timeliness	data_provider_5_pacific_shield_insurance	encounters;conditions;observations;medications;cost_records	entity_presence	1	Critical	provider_entity_availability_rules	Open
DQCAT-COMP-002	Completeness	Missing temporal fields	Completeness	Timeliness	data_provider_1_aegis_care_network;data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_4_valleybridge_medical	encounters;medications;cost_records;coverage_periods	encounter_datetime;medication_datetime;cost_date;coverage_start_date;coverage_end_date	10	Critical	required_optional_temporal_policy	Open
DQCAT-COMP-003	Completeness	Sparse observation components	Completeness	Validity	data_provider_1_aegis_care_network;data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_4_valleybridge_medical	observations	height_cm;weight_kg;blood_pressure_pair;pulse_lpm;temperature_c;bmi_payload	24	High	component_completeness_flags	Open
DQCAT-COMP-004	Completeness	Missing cost amount	Completeness	Accuracy	data_provider_1_aegis_care_network;data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_4_valleybridge_medical	cost_records	cost_amount	4	Medium	amount_source_requiredness_policy	Open
DQCAT-COMP-005	Completeness	Unknown or partial coverage periods	Completeness	Validity	all providers	coverage_periods	coverage_start_date;coverage_end_date	8	Critical	coverage_period_state_model	Open
DQCAT-UNIQ-001	Uniqueness	Duplicate coverage period keys	Uniqueness	Consistency	all providers	coverage_periods	provider_member_plan_period_key	5	High	deterministic_period_key_and_survivor_rule	Open
DQCAT-VAL-001	Validity	Provider-local timestamp standard	Validity	Timeliness	all providers	encounters;medications;cost_records;observations;runtime	*_datetime;*_date;loaded_at	0	Critical	local_timezone_utc_temporal_contract	Open
DQCAT-VAL-002	Validity	Implausible typed dates	Validity	Accuracy	data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_5_pacific_shield_insurance	patients;coverage_periods	birth_date;coverage_start_date;coverage_end_date	4	High	date_bounds_parser_quarantine	Open
DQCAT-VAL-003	Validity	Code domain format mismatch	Validity	Consistency	data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_4_valleybridge_medical	conditions	condition_source_code	3	Critical	code_source_domain_mapping	Open
DQCAT-VAL-004	Validity	Numeric amount validity	Validity	Accuracy	all cost providers	cost_records	cost_amount	0	Monitoring	positive_numeric_amount_guardrail	Monitoring
DQCAT-ACC-001	Accuracy	Clinical meaning requires HITL	Accuracy	Consistency	all clinical providers	conditions;medications;observations	condition_source_code;medication_source_code;vital_components	0	HITL	clinical_semantic_review	Open
DQCAT-ACC-002	Accuracy	Financial meaning requires HITL	Accuracy	Completeness	all cost providers	cost_records	cost_amount;cost_date;source_amount_role	0	HITL	financial_semantic_review	Open
DQCAT-CONS-001	Consistency	Orphan member references	Consistency	Completeness	all clinical/cost providers	encounters;conditions;medications;cost_records	member_reference	16	Critical	member_reference_normalization	Open
DQCAT-CONS-002	Consistency	Orphan encounter references	Consistency	Completeness	all clinical/cost providers	conditions;medications;cost_records	encounter_reference	12	Critical	encounter_reference_audit_bridge	Open
DQCAT-CONS-003	Consistency	Orphan condition references	Consistency	Completeness	all medication providers	medications	condition_reference	4	Critical	condition_reference_audit_bridge	Open
DQCAT-CONS-004	Consistency	Code and description variants	Consistency	Validity	all medication providers	medications	medication_source_code;medication_description	7	Medium	code_description_variant_dimensions	Open
DQCAT-CONS-005	Consistency	Conflicting patient demographics	Consistency	Accuracy	all patient providers	patients	gender;birth_date	8	High	demographic_survivor_rules	Open
DQCAT-TIME-001	Timeliness	Local time zone absent from temporal contract	Timeliness	Validity	all providers	all temporal entities	*_datetime;*_date;loaded_at	0	Critical	provider_timezone_to_utc_mapping	Open
DQCAT-TIME-002	Timeliness	Chronology unavailable	Timeliness	Completeness	data_provider_1_aegis_care_network;data_provider_2_bluestone_health;data_provider_3_northcare_clinics;data_provider_4_valleybridge_medical	encounters;medications;cost_records	encounter_datetime;medication_datetime;cost_date	6	Critical	approved_source_chronology_policy	Open
DQCAT-TIME-003	Timeliness	Freshness not yet profiled	Timeliness	Completeness	all providers	all entities	loaded_at;source_lineage_ref	0	Medium	freshness_sla_report	Open
